team,off_epa_per_play,def_epa_per_play,off_success_rate,def_success_rate_allowed,pass_epa_per_play,rush_epa_per_play,pass_def_epa_per_play,rush_def_epa_per_play,st_off_epa,st_def_epa,team_strength,off_trend,def_trend,rz_efficiency,third_down_rate,rz_def_efficiency,third_def_rate
LAR,-0.014742635084310871,-0.0040397734617883645,0.44670857891750976,0.44124206922318465,0.06785759094209506,-0.06538130039756354,0.06732462418893496,-0.06555682219357903,-0.03422741880540598,0.04027381352321497,-0.010702861622522507,0.08742636132086257,0.017511037921637683,0.1560477104594752,0.3905013657350269,0.14611915046644852,0.3965338168606787
ATL,-0.030430164245792972,0.003304204077717844,0.4535922413105733,0.43978920166880164,0.03375972947539908,-0.057775082731219646,0.09472281588277168,-0.09423491444277297,-0.042539740530522244,0.07114162212329513,-0.033734368323510816,0.004209105579132897,0.00918940973496235,0.14803355079217148,0.40668776269611406,0.15810313075506444,0.4176795931341386
CAR,-0.08087752824599975,0.0605294411507545,0.4128328550074486,0.46955796191671906,-0.08157555458066859,-0.0675097144284239,0.1262077818134965,0.03985100931648619,0.057492507343830414,0.061514790059253754,-0.14140696939675423,-0.0215611021499221,0.13261078161202447,0.15708286674132138,0.33748108378761754,0.18209885352742494,0.4384917091836735
CHI,-0.0642878245757969,-0.003359652081381441,0.40649934596202697,0.4436549616798986,-0.04909155590065423,-0.08520365358693097,0.0670160164132087,-0.05565871741093105,0.04646800659855202,0.021265654877810507,-0.06092817249441546,-0.022314635314048224,-0.07878403052475337,0.1593847712796757,0.3685224057946104,0.16162836120708052,0.4116614653016184
CIN,0.047981318933295776,0.014490670291728363,0.46277156489264754,0.45319824315593066,0.14142599891494806,-0.08073969483879698,0.0649829341724172,-0.03138792507873749,0.04001263229372771,0.06645770552287095,0.033490648641567415,0.025259688614094965,0.08996302215866558,0.16262098335269065,0.4280849122534555,0.18115181729026122,0.4167149770692434
DET,0.0850637710543065,-0.019271486737031232,0.4731825960547362,0.43397624695736253,0.19377073319114219,0.005822549312302527,0.065427658368292,-0.09109108827575015,0.08940512780490187,-0.011629723590797857,0.10433525779133773,0.09023858435741974,-0.08475433582963955,0.19669096813186393,0.4360420887722678,0.17248481089074363,0.3774462814119126
HOU,-0.055322073006925286,-0.04032703453873725,0.4053434563309241,0.4214940093510966,-0.005277566962965743,-0.14816227350613764,0.0038391304439845085,-0.11813336001192572,0.09128304873634144,0.07624824098244688,-0.014995038468188046,0.10708572428490638,-0.04187516408269179,0.14167535163949407,0.35474505731422723,0.18048118923488798,0.3629755055739692
MIA,0.002491145302584954,-0.023315267404223565,0.45210672097410287,0.43092918432220695,0.10353862113833438,-0.13805448282899754,0.034740352768650264,-0.10563809083439946,0.09495124854861793,0.10904252478679294,0.025806412706808515,-0.046055343877064676,-0.019572851714338643,0.17765335929892895,0.37096948361262405,0.16435802108572295,0.3720324866514798
NYJ,-0.09221369090096167,-0.02484849547274544,0.4071949600202566,0.4244709181119129,-0.0646829489641969,-0.12990146150921345,0.022433678800543914,-0.07475398225357911,0.016274480256612975,0.02092448708497604,-0.06736519542821623,0.0701648064763376,0.11984498608085409,0.14281668222844693,0.35106145357382496,0.15237205724986624,0.37919266835729104
WAS,0.014252722042446632,0.03702426089736927,0.44640580561369037,0.4468202268800878,0.0795244401414538,-0.05118560438096016,0.11966781691570694,-0.04109763638628044,0.04456698011115765,0.0824499032008805,-0.022771538854922634,0.1589891734766019,0.09862967317574005,0.17515858222434147,0.40639347326166275,0.16745546313201332,0.4046256851021425
ARI,-0.011544897073855625,0.0365428410788866,0.44327439948118913,0.47525278875971905,0.022384188577832254,-0.03233861559730196,0.12041441784177423,-0.03791575902933522,0.06855123288349553,0.07569815966645294,-0.04808773815274222,0.14238195897665845,0.03613227064374961,0.1673856566042085,0.40160904119577107,0.17185007453014153,0.42864762106293
LAC,-0.019524616156199673,-0.04937615763971159,0.4239245501320018,0.43197182838287285,0.05730846619984269,-0.12929455833355497,0.012634822627025684,-0.07875468342936746,0.046022430432891934,-0.0051954135713714565,0.02985154148351192,0.014422261097135836,-0.057909532768657124,0.14979096989966556,0.402065878022541,0.14803885630498534,0.3707182026169499
MIN,-0.02042293774760024,-0.057939303509711826,0.4443175469033096,0.42764533950478467,0.07320092449201165,-0.12967930548188064,0.00821130467897045,-0.14205992135046674,-0.012095478057960386,0.033702574593660044,0.037516365762111585,0.004408970490557034,-0.11001099481621274,0.16689785857676487,0.40193029658365664,0.1585178113661086,0.3714604087602783
TEN,-0.08595773687617987,0.023296130741722623,0.41084956229639336,0.43994865033238545,-0.030820133728417742,-0.13167634991753385,0.12057662384856854,-0.09113556605749962,0.03434461230850304,0.08533353078104347,-0.10925386761790248,-0.045531533564107995,0.029449771862362882,0.1613266130389418,0.3679375268098871,0.15013431749140116,0.3994925839188134
