team,off_epa_per_play,def_epa_per_play,off_success_rate,def_success_rate_allowed,pass_epa_per_play,rush_epa_per_play,pass_def_epa_per_play,rush_def_epa_per_play,st_off_epa,st_def_epa,team_strength,off_trend,def_trend,rz_efficiency,third_down_rate,rz_def_efficiency,third_def_rate,games_played_2025,live_weight,current_form_2025,live_data_quality,last_updated
LAR,0.03546779587037434,-0.03327778515490978,0.4598533583600584,0.43441413805986817,0.12457543572711587,0.043530336097544475,-0.041254480194046185,-0.07798998337275884,-0.03422741880540598,0.04027381352321497,0.9510815636586708,0.08742636132086257,0.01751103792163768,0.1560477104594752,0.3905013657350269,0.14611915046644852,0.3965338168606787,2,0.5,0.06603626474312982,0.5,2025-09-21
ATL,-0.009483376775392353,-0.08031933684941793,0.463900945946468,0.4201020697140688,0.05203622459912272,-0.050984152792229134,-0.0352500567262988,-0.1415647232149574,-0.04253974053052224,0.07114162212329513,0.6046554486944871,0.00420910557913289,0.00918940973496235,0.14803355079217148,0.40668776269611406,0.15810313075506444,0.4176795931341386,2,0.5,0.011386904330613417,0.5,2025-09-21
CAR,-0.06202906686050376,0.06229275328472404,0.4217274322884133,0.4694533104602753,-0.038752027201338565,-0.11653813202535837,0.15040029558653845,0.011131139133597073,0.05749250734383041,0.06151479005925375,-1.369425971212086,-0.0215611021499221,0.13261078161202447,0.15708286674132138,0.33748108378761754,0.18209885352742497,0.4384917091836735,2,0.5,-0.05015865526585126,0.5,2025-09-21
CHI,-0.09076993282022261,0.07320536345408969,0.40031807688980825,0.48126144310410024,-0.02581427728717138,-0.22133435377033472,0.22984326443874525,-0.03129046762424375,0.04646800659855202,0.0212656548778105,-2.0753601606915124,-0.02231463531404822,-0.07878403052475337,0.1593847712796757,0.3685224057946104,0.16162836120708052,0.4116614653016184,2,0.5,-0.1164035849713137,0.5,2025-09-21
CIN,0.03682807110007915,0.009456905785661919,0.4757887675209507,0.4563725843611368,0.07365967338295992,-0.06960059950613103,0.051846215272946285,4.2998844656852095e-4,0.04001263229372771,0.06645770552287095,0.3691131519916625,0.02525968861409496,0.08996302215866558,0.16262098335269065,0.4280849122534555,0.1811518172902612,0.4167149770692434,2,0.5,0.01529753745523327,0.5,2025-09-21
DET,0.1145457976069458,-0.018094680799711566,0.49152846140259254,0.43645377233364313,0.2958921007992012,-0.04581863352887214,0.09639180890819748,-0.1865877094143345,0.08940512780490187,-0.01162972359079785,1.8819910394163801,0.09023858435741974,-0.08475433582963955,0.19669096813186393,0.4360420887722678,0.17248481089074363,0.3774462814119126,2,0.5,0.11835512338984588,0.5,2025-09-21
HOU,-0.05693805624653937,-0.031953290226971215,0.4018242705383434,0.4472886033704912,-0.05148314256612544,-0.14419312895752345,0.04033864974420638,-0.025422508469275337,0.09128304873634144,0.07624824098244688,-0.6500395075436611,0.10708572428490638,-0.04187516408269179,0.14167535163949407,0.35474505731422723,0.180481189234888,0.3629755055739692,2,0.5,-0.06725705337880744,0.5,2025-09-21
MIA,0.015401607874135697,0.14490119426819278,0.4596063752665898,0.4869844331645647,3.3783289010599557e-4,0.007883250970370896,0.32346254715273737,-0.0074193835944278246,0.09495124854861792,0.10904252478679294,-0.9607631329812436,-0.04605534387706467,-0.01957285171433864,0.17765335929892895,0.3709694836126241,0.16435802108572295,0.3720324866514798,3,0.7,0.008886068484588349,0.7,2025-09-21
NYJ,-0.05176877887873387,0.08296266257581338,0.4455329638810961,0.4528176508367784,-0.043043191897498244,-0.09444077080589164,0.1642663383307445,0.016744796259748444,0.01627448025661297,0.02092448708497604,-1.1205260457276263,0.0701648064763376,0.11984498608085407,0.14281668222844693,0.35106145357382496,0.15237205724986624,0.37919266835729104,2,0.5,0.012172608733243884,0.5,2025-09-21
WAS,0.002317586499812476,0.008215689039328691,0.4539076007934224,0.44610635917383235,0.021827072069461877,0.034852361034325784,0.08756700226472096,-0.06573652825769388,0.04456698011115765,0.0824499032008805,-0.04007834406629422,0.1589891734766019,0.09862967317574003,0.17515858222434147,0.4063934732616627,0.16745546313201332,0.4046256851021425,2,0.5,4.94260650042109e-4,0.5,2025-09-21
ARI,0.008975819263524927,-0.0024935301329153114,0.44899750802575833,0.4578907115604762,0.10855597591985021,-0.07952849694047429,0.09309512084215503,-0.11512268158626912,0.06855123288349553,0.07569815966645294,0.2480958458684679,0.14238195897665845,0.03613227064374961,0.1673856566042085,0.40160904119577107,0.17185007453014153,0.42864762106293,2,0.5,0.02767788243397922,0.5,2025-09-21
LAC,0.01583740884495772,-0.06982192528444751,0.47157765968138554,0.4177558256958612,0.22952908103555872,-0.27050164257354947,-0.06981741431046709,-0.09498456075132763,0.04602243043289193,-0.00519541357137145,1.081289491075725,0.01442226109713583,-0.05790953276865712,0.14979096989966556,0.402065878022541,0.14803885630498534,0.3707182026169499,2,0.5,0.07286800007011354,0.5,2025-09-21
MIN,-0.12451214131794373,-0.050664706853422906,0.42859030872136433,0.4295417332975428,-0.16481664844380098,-0.11766571286564995,-0.06680412821724262,-0.03754071673742077,-0.01209547805796038,0.03370257459366004,-1.873471022030253,0.00440897049055703,-0.11001099481621274,0.16689785857676487,0.40193029658365664,0.1585178113661086,0.3714604087602783,2,0.5,-0.20673345273563984,0.5,2025-09-21
