game_id,season.x,week,home_team,away_team,home_score,away_score,home_off_epa_total,home_off_epa_avg,home_off_success_rate,home_off_pass_epa_total,home_off_pass_epa_avg,home_off_pass_success_rate,home_off_rush_epa_total,home_off_rush_epa_avg,home_off_rush_success_rate,home_total_plays,home_pass_plays,home_rush_plays,home_def_epa_allowed_total,home_def_epa_allowed_avg,home_def_success_rate_allowed,home_def_pass_epa_allowed_total,home_def_pass_epa_allowed_avg,home_def_pass_success_rate_allowed,home_def_rush_epa_allowed_total,home_def_rush_epa_allowed_avg,home_def_rush_success_rate_allowed,away_off_epa_total,away_off_epa_avg,away_off_success_rate,away_off_pass_epa_total,away_off_pass_epa_avg,away_off_pass_success_rate,away_off_rush_epa_total,away_off_rush_epa_avg,away_off_rush_success_rate,away_total_plays,away_pass_plays,away_rush_plays,away_def_epa_allowed_total,away_def_epa_allowed_avg,away_def_success_rate_allowed,away_def_pass_epa_allowed_total,away_def_pass_epa_allowed_avg,away_def_pass_success_rate_allowed,away_def_rush_epa_allowed_total,away_def_rush_epa_allowed_avg,away_def_rush_success_rate_allowed,home_epa_trend,home_def_trend,away_epa_trend,away_def_trend,season.y,era,home_team_name,away_team_name,home_team_id,away_team_id,true_home,bye,mnf,mini,point_diff,spread_line,days_since_last_game_home_team,days_since_last_game_away_team
NA,2020,1,KC,HOU,34,20,19.472848004547217,0.2290923294652613,0.5411764705882354,16.654937272577236,0.47585535064506385,0.6571428571428571,0.3347784066741357,0.00984642372570975,0.411764705882353,85,35,34,5.301301279470227,0.07262056547219489,0.4657534246575342,3.5646896230716223,0.08694364934321033,0.5121951219512195,5.272302708530333,0.3101354534429608,0.5294117647058824,5.301301279470227,0.07262056547219489,0.4657534246575342,3.5646896230716223,0.08694364934321033,0.5121951219512195,5.272302708530333,0.3101354534429608,0.5294117647058824,73,41,17,19.472848004547217,0.2290923294652613,0.5411764705882354,16.654937272577236,0.47585535064506385,0.6571428571428571,0.3347784066741357,0.00984642372570975,0.411764705882353,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,2020,1,ATL,SEA,25,38,-1.100763547783544,-0.011466286956078592,0.41666666666666663,6.17361678107515,0.1046375725605958,0.47457627118644063,-7.005064008882186,-0.3335744766134375,0.42857142857142855,96,59,21,18.028977381241656,0.22257996766965013,0.4567901234567901,23.697700526400386,0.564230964914295,0.5476190476190477,-2.1686638609098736,-0.11414020320578286,0.3157894736842105,18.028977381241656,0.22257996766965013,0.4567901234567901,23.697700526400386,0.564230964914295,0.5476190476190477,-2.1686638609098736,-0.11414020320578286,0.3157894736842105,81,42,19,-1.100763547783544,-0.011466286956078592,0.41666666666666663,6.17361678107515,0.1046375725605958,0.47457627118644063,-7.005064008882186,-0.3335744766134375,0.42857142857142855,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,2020,1,BAL,CLE,38,6,13.372304085804835,0.18318224775075123,0.5068493150684933,15.397051609139105,0.49667908416577744,0.5483870967741935,-5.223543576314114,-0.19346457690052274,0.37037037037037035,73,31,27,-21.755844681072098,-0.24444769304575387,0.3370786516853933,-7.908246690493627,-0.16475513938528388,0.39583333333333337,-5.751368517812807,-0.23005474071251233,0.4,-21.755844681072098,-0.24444769304575387,0.3370786516853933,-7.908246690493627,-0.16475513938528388,0.39583333333333337,-5.751368517812807,-0.23005474071251233,0.4,89,48,25,13.372304085804835,0.18318224775075123,0.5068493150684933,15.397051609139105,0.49667908416577744,0.5483870967741935,-5.223543576314114,-0.19346457690052274,0.37037037037037035,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,2020,1,BUF,NYJ,27,17,3.006581775685625,0.03006581775685615,0.5,24.02860380176854,0.4290822107458668,0.5892857142857142,-15.765000753559294,-0.5436207156399757,0.27586206896551724,100,56,29,-9.215408360497193,-0.12453254541212393,0.3648648648648648,-6.819149134884356,-0.17484997781754746,0.3589743589743589,1.8126220460690092,0.120841469737934,0.4666666666666666,-9.215408360497193,-0.12453254541212393,0.3648648648648648,-6.819149134884356,-0.17484997781754746,0.3589743589743589,1.8126220460690092,0.120841469737934,0.4666666666666666,74,39,15,3.006581775685625,0.03006581775685615,0.5,24.02860380176854,0.4290822107458668,0.5892857142857142,-15.765000753559294,-0.5436207156399757,0.27586206896551724,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,2020,1,CAR,LV,30,34,11.048586247242657,0.134738856673691,0.451219512195122,9.262741619549793,0.22592052730609258,0.4634146341463415,1.094832332630176,0.04210893587039138,0.4615384615384615,82,41,26,19.345329833713862,0.24181662292142328,0.525,13.873763826657019,0.43355511958303194,0.59375,4.298204103339231,0.13865174526900742,0.5483870967741935,19.345329833713862,0.24181662292142328,0.525,13.873763826657019,0.43355511958303194,0.59375,4.298204103339231,0.13865174526900742,0.5483870967741935,80,32,31,11.048586247242657,0.134738856673691,0.451219512195122,9.262741619549793,0.22592052730609258,0.4634146341463415,1.094832332630176,0.04210893587039138,0.4615384615384615,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,2020,1,DET,CHI,23,27,-3.3903959171690516,-0.034952535228547015,0.42268041237113396,4.89893415235573,0.09797868304711448,0.5,-5.40500117620104,-0.20018522874818662,0.2962962962962963,97,50,27,3.7961176158046577,0.045191876378626886,0.4761904761904761,4.8231923374923475,0.12367159839723973,0.4871794871794871,2.4149954082386103,0.09288443877840809,0.5384615384615384,3.7961176158046577,0.045191876378626886,0.4761904761904761,4.8231923374923475,0.12367159839723973,0.4871794871794871,2.4149954082386103,0.09288443877840809,0.5384615384615384,84,39,26,-3.3903959171690516,-0.034952535228547015,0.42268041237113396,4.89893415235573,0.09797868304711448,0.5,-5.40500117620104,-0.20018522874818662,0.2962962962962963,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,2020,1,JAX,IND,27,20,10.549459891031582,0.16483531079736857,0.5,9.284797369859628,0.3201654265468837,0.5517241379310345,-1.7726297005428933,-0.08863148502714471,0.45,64,29,20,3.20057599470708,0.03678822982421917,0.49425287356321834,12.199430254690107,0.23920451479784527,0.5686274509803921,-7.9931578711548354,-0.34752860309368855,0.30434782608695654,3.20057599470708,0.03678822982421917,0.49425287356321834,12.199430254690107,0.23920451479784527,0.5686274509803921,-7.9931578711548354,-0.34752860309368855,0.30434782608695654,87,51,23,10.549459891031582,0.16483531079736857,0.5,9.284797369859628,0.3201654265468837,0.5517241379310345,-1.7726297005428933,-0.08863148502714471,0.45,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,2020,1,MIN,GB,34,43,15.299441095109213,0.22834986709118216,0.537313432835821,9.439434830672727,0.2949823384585228,0.625,6.679577231611125,0.33397886158055623,0.65,67,32,20,26.547122616971027,0.2794433959681161,0.5368421052631579,18.295651465198286,0.40657003255996177,0.5555555555555556,4.493436539196409,0.14494956578052937,0.5161290322580645,26.547122616971027,0.2794433959681161,0.5368421052631579,18.295651465198286,0.40657003255996177,0.5555555555555556,4.493436539196409,0.14494956578052937,0.5161290322580645,95,45,31,15.299441095109213,0.22834986709118216,0.537313432835821,9.439434830672727,0.2949823384585228,0.625,6.679577231611125,0.33397886158055623,0.65,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,2020,1,NE,MIA,21,11,8.34976360919405,0.10986531064729008,0.5789473684210527,-2.256186982849613,-0.09809508621085275,0.6086956521739131,12.888333404037468,0.3222083351009367,0.625,76,23,40,-1.6962891798028723,-0.023891396898631956,0.49295774647887325,-1.3885005991268287,-0.03752704321964407,0.5135135135135135,-1.464612151306821,-0.06102550630445089,0.5416666666666667,-1.6962891798028723,-0.023891396898631956,0.49295774647887325,-1.3885005991268287,-0.03752704321964407,0.5135135135135135,-1.464612151306821,-0.06102550630445089,0.5416666666666667,71,37,24,8.34976360919405,0.10986531064729008,0.5789473684210527,-2.256186982849613,-0.09809508621085275,0.6086956521739131,12.888333404037468,0.3222083351009367,0.625,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,2020,1,WAS,PHI,27,17,-10.40087696547402,-0.11429535126894529,0.3516483516483516,-1.7689396158424144,-0.0491372115511781,0.33333333333333337,-8.736908319348004,-0.28183575223703244,0.22580645161290322,91,36,31,-19.145585168879578,-0.22262308335906525,0.4069767441860466,-18.64683694561963,-0.3656242538356788,0.3529411764705882,-0.914912517007906,-0.05381838335340623,0.47058823529411764,-19.145585168879578,-0.22262308335906525,0.4069767441860466,-18.64683694561963,-0.3656242538356788,0.3529411764705882,-0.914912517007906,-0.05381838335340623,0.47058823529411764,86,51,17,-10.40087696547402,-0.11429535126894529,0.3516483516483516,-1.7689396158424144,-0.0491372115511781,0.33333333333333337,-8.736908319348004,-0.28183575223703244,0.22580645161290322,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
